Date MM/DD/YYYY,Station Number,Depth [meters],Discrete Chlorophyll [mg/m3],Chlorophyll a/a+PHA,Fluorescence [volts],Calculated Chlorophyll [mg/m3],Discrete Oxygen [mg/L],Oxygen Electrode Output [volts],Oxygen Saturation,Calculated Oxygen [mg/L],Discrete SPM [mg/L],Optical Backscatter [volts],Calculated SPM [mg/L],Measured Extinction Coefficient [per meter],Salinity [psu],Temperature [°C],Nitrite [µM],Nitrate + Nitrite [µM],Ammonium [µM],Phosphate [µM],Silicate [µM],Coordinates
2014-01-31,26.0,3,,,0.3,3.7,,3.1,91.0,8.1,,,42,,30.6,12.13,,,,,,"(""37  38.2'"", ""-122 18.8'"")"
2014-01-31,26.0,4,,,0.3,3.7,,3.1,91.0,8.1,,,45,,30.62,12.1,,,,,,"(""37  38.2'"", ""-122 18.8'"")"
2014-01-31,26.0,5,,,0.3,3.7,,3.1,91.0,8.1,,,49,,30.61,12.09,,,,,,"(""37  38.2'"", ""-122 18.8'"")"
2014-01-31,26.0,6,,,0.3,3.8,,3.1,91.0,8.1,,,66,,30.61,12.07,,,,,,"(""37  38.2'"", ""-122 18.8'"")"
2014-01-31,26.0,7,,,0.3,3.8,,3.1,91.0,8.1,,,73,,30.62,12.06,,,,,,"(""37  38.2'"", ""-122 18.8'"")"
2014-01-31,26.0,8,,,0.3,3.8,,3.1,91.0,8.1,,,76,,30.62,12.06,,,,,,"(""37  38.2'"", ""-122 18.8'"")"
2014-01-31,26.0,9,,,0.31,3.9,,3.1,91.0,8.1,,,81,,30.62,12.05,,,,,,"(""37  38.2'"", ""-122 18.8'"")"
2014-01-31,26.0,10,,,0.31,3.9,,3.1,91.0,8.1,,,86,,30.62,12.05,,,,,,"(""37  38.2'"", ""-122 18.8'"")"
2014-01-31,27.0,1,,,0.3,3.7,,3.2,92.0,8.1,,,28,1.81,30.66,12.55,,,,,,"(""37  37.1'"", ""-122 17.5'"")"
2014-01-31,27.0,2,3.2,0.76,0.3,3.7,8,3.1,92.0,8.1,20.8,,31,,30.6,12.49,2.17,39.99,13.39,4.96,,"(""37  37.1'"", ""-122 17.5'"")"
2014-01-31,27.0,3,,,0.31,3.9,,3.1,92.0,8.1,,,37,,30.63,12.37,,,,,,"(""37  37.1'"", ""-122 17.5'"")"
2014-01-31,27.0,4,,,0.3,3.8,,3.1,91.0,8.1,,,43,,30.68,12.33,,,,,,"(""37  37.1'"", ""-122 17.5'"")"
2014-01-31,27.0,5,,,0.3,3.8,,3.1,91.0,8.1,,,52,,30.63,12.32,,,,,,"(""37  37.1'"", ""-122 17.5'"")"
2014-01-31,27.0,6,,,0.3,3.8,,3.1,91.0,8.1,,,67,,30.65,12.28,,,,,,"(""37  37.1'"", ""-122 17.5'"")"
2014-01-31,27.0,7,,,0.31,3.9,,3.1,91.0,8.1,,,76,,30.65,12.27,,,,,,"(""37  37.1'"", ""-122 17.5'"")"
2014-01-31,27.0,8,,,0.31,3.9,,3.1,91.0,8.1,,,83,,30.65,12.27,,,,,,"(""37  37.1'"", ""-122 17.5'"")"
2014-01-31,27.0,9,,,0.31,3.9,,3.1,91.0,8.1,,,89,,30.65,12.26,,,,,,"(""37  37.1'"", ""-122 17.5'"")"
2014-01-31,27.0,10,,,0.31,3.9,,3.1,91.0,8.1,,,96,,30.65,12.26,,,,,,"(""37  37.1'"", ""-122 17.5'"")"
2014-01-31,27.0,11,,,0.32,4,,3.1,91.0,8.1,,,106,,30.65,12.25,,,,,,"(""37  37.1'"", ""-122 17.5'"")"
2014-01-31,27.0,12,3.5,0.38,0.32,4,,3.1,91.0,8.1,127.6,,115,,30.65,12.25,,,,,,"(""37  37.1'"", ""-122 17.5'"")"
2014-01-31,28.0,1,,,0.28,3.5,,3.1,92.0,8.1,,,25,2.03,30.68,12.59,,,,,,"(""37  36.1'"", ""-122 16.2'"")"
2014-01-31,28.0,2,,,0.28,3.5,,3.1,92.0,8.1,,,32,,30.63,12.43,,,,,,"(""37  36.1'"", ""-122 16.2'"")"
2014-01-31,28.0,3,,,0.29,3.7,,3.1,91.0,8.1,,,41,,30.67,12.32,,,,,,"(""37  36.1'"", ""-122 16.2'"")"
2014-01-31,28.0,4,,,0.29,3.6,,3.1,91.0,8.1,,,48,,30.68,12.29,,,,,,"(""37  36.1'"", ""-122 16.2'"")"
2014-01-31,28.0,5,,,0.29,3.6,,3.1,91.0,8.1,,,58,,30.68,12.28,,,,,,"(""37  36.1'"", ""-122 16.2'"")"
2014-01-31,28.0,6,,,0.3,3.7,,3.1,91.0,8.1,,,64,,30.67,12.27,,,,,,"(""37  36.1'"", ""-122 16.2'"")"
2014-01-31,28.0,7,,,0.3,3.8,,3.1,91.0,8.1,,,73,,30.66,12.25,,,,,,"(""37  36.1'"", ""-122 16.2'"")"
2014-01-31,28.0,8,,,0.3,3.8,,3.1,91.0,8,,,80,,30.66,12.24,,,,,,"(""37  36.1'"", ""-122 16.2'"")"
2014-01-31,28.0,9,,,0.31,3.8,,3.1,91.0,8,,,82,,30.66,12.24,,,,,,"(""37  36.1'"", ""-122 16.2'"")"
2014-01-31,28.0,10,,,0.3,3.8,,3.1,91.0,8,,,90,,30.66,12.23,,,,,,"(""37  36.1'"", ""-122 16.2'"")"
2014-01-31,28.0,11,,,0.3,3.8,,3.1,91.0,8,,,99,,30.66,12.23,,,,,,"(""37  36.1'"", ""-122 16.2'"")"
2014-01-31,28.0,12,,,0.31,3.9,,3.1,91.0,8,,,107,,30.66,12.23,,,,,,"(""37  36.1'"", ""-122 16.2'"")"
2014-01-31,28.0,13,,,0.31,3.9,,3.1,91.0,8,,,121,,30.65,12.22,,,,,,"(""37  36.1'"", ""-122 16.2'"")"
2014-01-31,29.0,1,,,0.32,4,,3.1,92.0,8.1,,,66,3.4,30.68,12.47,,,,,,"(""37  34.1'"", ""-122 13.1'"")"
2014-01-31,29.0,2,,,0.32,4,,3.1,92.0,8.1,,,76,,30.67,12.42,,,,,,"(""37  34.1'"", ""-122 13.1'"")"
2014-01-31,29.0,3,,,0.31,3.9,,3.1,92.0,8.1,,,81,,30.68,12.39,,,,,,"(""37  34.1'"", ""-122 13.1'"")"
2014-01-31,29.0,4,,,0.31,3.9,,3.1,92.0,8.1,,,80,,30.69,12.39,,,,,,"(""37  34.1'"", ""-122 13.1'"")"
2014-01-31,29.0,5,,,0.31,3.9,,3.1,92.0,8.1,,,80,,30.68,12.39,,,,,,"(""37  34.1'"", ""-122 13.1'"")"
2014-01-31,29.0,6,,,0.31,3.9,,3.1,91.0,8.1,,,81,,30.69,12.38,,,,,,"(""37  34.1'"", ""-122 13.1'"")"
2014-01-31,29.0,7,,,0.31,3.8,,3.1,91.0,8.1,,,84,,30.68,12.38,,,,,,"(""37  34.1'"", ""-122 13.1'"")"
2014-01-31,29.0,8,,,0.31,3.8,,3.1,91.0,8.1,,,87,,30.69,12.37,,,,,,"(""37  34.1'"", ""-122 13.1'"")"
2014-01-31,29.0,9,,,0.31,3.8,,3.1,91.0,8.1,,,85,,30.69,12.38,,,,,,"(""37  34.1'"", ""-122 13.1'"")"
2014-01-31,29.0,10,,,0.31,3.8,,3.1,91.0,8.1,,,87,,30.69,12.37,,,,,,"(""37  34.1'"", ""-122 13.1'"")"
2014-01-31,29.0,11,,,0.31,3.8,,3.1,91.0,8.1,,,94,,30.69,12.37,,,,,,"(""37  34.1'"", ""-122 13.1'"")"
2014-01-31,29.0,12,,,0.31,3.8,,3.1,91.0,8.1,,,96,,30.69,12.37,,,,,,"(""37  34.1'"", ""-122 13.1'"")"
2014-01-31,29.0,13,,,0.31,3.9,,3.1,91.0,8.1,,,94,,30.69,12.37,,,,,,"(""37  34.1'"", ""-122 13.1'"")"
2014-01-31,29.0,14,,,0.31,3.9,,3.1,91.0,8,,,106,,30.69,12.37,,,,,,"(""37  34.1'"", ""-122 13.1'"")"
2014-01-31,29.5,1,,,0.3,3.8,,3.1,92.0,8.1,,,42,2.25,30.7,12.51,,,,,,
2014-01-31,29.5,2,,,0.3,3.8,,3.1,92.0,8.1,,,50,,30.64,12.44,,,,,,
2014-01-31,29.5,3,,,0.3,3.7,,3.1,91.0,8.1,,,67,,30.68,12.36,,,,,,
2014-01-31,29.5,4,,,0.29,3.6,,3.1,91.0,8,,,86,,30.69,12.33,,,,,,
2014-01-31,29.5,5,,,0.29,3.6,,3.1,91.0,8,,,91,,30.69,12.33,,,,,,
2014-01-31,29.5,6,,,0.29,3.6,,3.1,91.0,8,,,94,,30.69,12.33,,,,,,
2014-01-31,29.5,7,,,0.28,3.5,,3.1,91.0,8,,,114,,30.69,12.34,,,,,,
2014-01-31,29.5,8,,,0.28,3.5,,3.1,91.0,8,,,111,,30.69,12.34,,,,,,
2014-01-31,29.5,9,,,0.29,3.6,,3.1,91.0,8,,,119,,30.69,12.34,,,,,,
2014-01-31,29.5,10,,,0.29,3.6,,3.1,91.0,8,,,126,,30.69,12.35,,,,,,
2014-01-31,29.5,11,,,0.29,3.6,,3.1,91.0,8,,,128,,30.69,12.35,,,,,,
2014-01-31,29.5,12,,,0.29,3.6,,3.1,91.0,8,,,131,,30.69,12.35,,,,,,
2014-01-31,29.5,13,,,0.29,3.6,,3.1,91.0,8,,,136,,30.69,12.35,,,,,,
2014-01-31,29.5,14,,,0.29,3.7,,3.1,91.0,8,,,151,,30.69,12.35,,,,,,
2014-01-31,29.5,15,,,0.31,3.8,,3.1,91.0,8,,,158,,30.68,12.36,,,,,,
2014-01-31,29.5,16,,,0.31,3.8,,3.1,91.0,8,,,173,,30.64,12.36,,,,,,
2014-01-31,30.0,1,,,0.26,3.2,,3.1,92.0,8.1,,,29,1.97,30.6,12.56,,,,,,"(""37  33.3'"", ""-122 11.4'"")"
2014-01-31,30.0,2,2.4,0.67,0.26,3.2,,3.1,92.0,8.1,27.8,,35,,30.57,12.52,2.08,37.64,12.06,4.89,,"(""37  33.3'"", ""-122 11.4'"")"
2014-01-31,30.0,3,,,0.26,3.2,,3.1,92.0,8.1,,,45,,30.58,12.49,,,,,,"(""37  33.3'"", ""-122 11.4'"")"
2014-01-31,30.0,4,,,0.25,3.1,,3.1,92.0,8.1,,,54,,30.59,12.48,,,,,,"(""37  33.3'"", ""-122 11.4'"")"
2014-01-31,30.0,5,,,0.25,3.1,,3.1,92.0,8.1,,,70,,30.6,12.48,,,,,,"(""37  33.3'"", ""-122 11.4'"")"
2014-01-31,30.0,6,,,0.26,3.2,,3.1,92.0,8.1,,,83,,30.6,12.48,,,,,,"(""37  33.3'"", ""-122 11.4'"")"
2014-01-31,30.0,7,,,0.26,3.2,,3.1,92.0,8.1,,,87,,30.6,12.48,,,,,,"(""37  33.3'"", ""-122 11.4'"")"
2014-01-31,30.0,8,,,0.26,3.3,,3.1,92.0,8.1,,,99,,30.6,12.49,,,,,,"(""37  33.3'"", ""-122 11.4'"")"
2014-01-31,30.0,9,,,0.27,3.3,,3.1,92.0,8.1,,,104,,30.6,12.49,,,,,,"(""37  33.3'"", ""-122 11.4'"")"
2014-01-31,30.0,10,,,0.27,3.4,,3.1,92.0,8.1,,,125,,30.59,12.49,,,,,,"(""37  33.3'"", ""-122 11.4'"")"
2014-01-31,30.0,11,3,0.38,0.27,3.4,,3.1,92.0,8.1,125.4,,132,,30.59,12.5,,,,,,"(""37  33.3'"", ""-122 11.4'"")"
2014-01-31,31.0,1,,,0.31,3.8,,3.2,93.0,8.1,,,18,1.18,30.47,12.97,,,,,,"(""37  31.7'"", ""-122 9.5'"")"
2014-01-31,31.0,2,,,0.31,3.8,,3.2,93.0,8.1,,,22,,30.43,12.89,,,,,,"(""37  31.7'"", ""-122 9.5'"")"
2014-01-31,31.0,3,,,0.3,3.7,,3.2,92.0,8.1,,,24,,30.48,12.77,,,,,,"(""37  31.7'"", ""-122 9.5'"")"
2014-01-31,31.0,4,,,0.28,3.4,,3.2,92.0,8.1,,,31,,30.48,12.67,,,,,,"(""37  31.7'"", ""-122 9.5'"")"
2014-01-31,31.0,5,,,0.26,3.3,,3.1,92.0,8.1,,,37,,30.51,12.6,,,,,,"(""37  31.7'"", ""-122 9.5'"")"
2014-01-31,31.0,6,,,0.26,3.2,,3.1,92.0,8.1,,,47,,30.52,12.59,,,,,,"(""37  31.7'"", ""-122 9.5'"")"
2014-01-31,31.0,7,,,0.26,3.2,,3.1,92.0,8.1,,,48,,30.52,12.59,,,,,,"(""37  31.7'"", ""-122 9.5'"")"
2014-01-31,31.0,8,,,0.26,3.2,,3.1,92.0,8.1,,,48,,30.52,12.59,,,,,,"(""37  31.7'"", ""-122 9.5'"")"
2014-01-31,31.0,9,,,0.26,3.2,,3.1,92.0,8.1,,,49,,30.52,12.59,,,,,,"(""37  31.7'"", ""-122 9.5'"")"
2014-01-31,31.0,10,,,0.26,3.2,,3.1,92.0,8.1,,,49,,30.52,12.59,,,,,,"(""37  31.7'"", ""-122 9.5'"")"
2014-01-31,31.0,11,,,0.26,3.2,,3.1,92.0,8.1,,,55,,30.52,12.6,,,,,,"(""37  31.7'"", ""-122 9.5'"")"
2014-01-31,31.0,12,,,0.26,3.2,,3.1,92.0,8.1,,,57,,30.52,12.6,,,,,,"(""37  31.7'"", ""-122 9.5'"")"
2014-01-31,31.0,13,,,0.26,3.2,,3.1,92.0,8.1,,,66,,30.53,12.61,,,,,,"(""37  31.7'"", ""-122 9.5'"")"
2014-01-31,32.0,1,,,0.33,4.2,,3.2,93.0,8.1,,,16,1.19,30.3,13.26,,,,,,"(""37  31.1'"", ""-122  8.0'"")"
2014-01-31,32.0,2,4,0.82,0.33,4.2,8.1,3.2,93.0,8.1,17.6,,20,,30.22,13.09,1.47,57.62,8.86,6.32,,"(""37  31.1'"", ""-122  8.0'"")"
2014-01-31,32.0,3,,,0.32,4,,3.2,92.0,8.1,,,27,,30.38,12.8,,,,,,"(""37  31.1'"", ""-122  8.0'"")"
2014-01-31,32.0,4,,,0.3,3.7,,3.2,92.0,8.1,,,38,,30.46,12.7,,,,,,"(""37  31.1'"", ""-122  8.0'"")"
2014-01-31,32.0,5,,,0.28,3.5,,3.2,92.0,8.1,,,44,,30.47,12.69,,,,,,"(""37  31.1'"", ""-122  8.0'"")"
2014-01-31,32.0,6,,,0.27,3.4,,3.2,92.0,8.1,,,46,,30.47,12.69,,,,,,"(""37  31.1'"", ""-122  8.0'"")"
2014-01-31,32.0,7,,,0.27,3.4,,3.1,92.0,8.1,,,48,,30.47,12.69,,,,,,"(""37  31.1'"", ""-122  8.0'"")"
2014-01-31,32.0,8,,,0.27,3.4,,3.1,92.0,8.1,,,48,,30.47,12.69,,,,,,"(""37  31.1'"", ""-122  8.0'"")"
2014-01-31,32.0,9,,,0.27,3.4,,3.1,92.0,8.1,,,53,,30.47,12.69,,,,,,"(""37  31.1'"", ""-122  8.0'"")"
2014-01-31,32.0,10,,,0.28,3.5,,3.1,92.0,8.1,,,63,,30.47,12.7,,,,,,"(""37  31.1'"", ""-122  8.0'"")"
2014-01-31,32.0,11,,,0.28,3.5,,3.1,92.0,8.1,,,64,,30.47,12.7,,,,,,"(""37  31.1'"", ""-122  8.0'"")"
2014-01-31,32.0,12,2.8,0.54,0.28,3.5,,3.1,92.0,8.1,54.5,,63,,30.47,12.7,,,,,,"(""37  31.1'"", ""-122  8.0'"")"
2014-01-31,33.0,1,,,0.38,4.8,,3.2,93.0,8.1,,,20,1.74,30.18,13.31,,,,,,"(""37   30.5'"", ""-122 7.3'"")"
2014-01-31,33.0,2,,,0.38,4.8,,3.2,93.0,8.1,,,24,,30.17,13.22,,,,,,"(""37   30.5'"", ""-122 7.3'"")"
2014-01-31,33.0,3,,,0.36,4.6,,3.2,93.0,8.1,,,28,,30.17,13.1,,,,,,"(""37   30.5'"", ""-122 7.3'"")"
2014-01-31,33.0,4,,,0.34,4.3,,3.2,93.0,8.1,,,36,,30.2,12.97,,,,,,"(""37   30.5'"", ""-122 7.3'"")"
2014-01-31,33.0,5,,,0.33,4.1,,3.2,93.0,8.1,,,38,,30.21,12.94,,,,,,"(""37   30.5'"", ""-122 7.3'"")"
2014-01-31,33.0,6,,,0.32,4,,3.2,93.0,8.1,,,37,,30.23,12.92,,,,,,"(""37   30.5'"", ""-122 7.3'"")"
2014-01-31,33.0,7,,,0.31,3.9,,3.2,92.0,8.1,,,38,,30.25,12.9,,,,,,"(""37   30.5'"", ""-122 7.3'"")"
2014-01-31,33.0,8,,,0.3,3.8,,3.2,92.0,8.1,,,42,,30.28,12.87,,,,,,"(""37   30.5'"", ""-122 7.3'"")"
2014-01-31,33.0,9,,,0.3,3.8,,3.2,92.0,8.1,,,43,,30.3,12.86,,,,,,"(""37   30.5'"", ""-122 7.3'"")"
2014-01-31,34.0,1,,,0.46,5.8,,3.2,93.0,8.1,,,26,1.87,29.97,13.28,,,,,,"(""37  29.7'"", ""-122 5.6'"")"
2014-01-31,34.0,2,7.3,0.81,0.46,5.8,,3.2,93.0,8.1,,,27,,29.96,13.28,,,,,,"(""37  29.7'"", ""-122 5.6'"")"
2014-01-31,34.0,3,,,0.43,5.5,,3.2,93.0,8.1,,,28,,29.96,13.25,,,,,,"(""37  29.7'"", ""-122 5.6'"")"
2014-01-31,34.0,4,,,0.4,5.1,,3.2,93.0,8.1,,,33,,29.95,13.2,,,,,,"(""37  29.7'"", ""-122 5.6'"")"
2014-01-31,34.0,5,,,0.37,4.7,,3.2,93.0,8.1,,,41,,29.97,13.15,,,,,,"(""37  29.7'"", ""-122 5.6'"")"
2014-01-31,34.0,6,,,0.37,4.6,,3.2,93.0,8.1,,,46,,29.98,13.14,,,,,,"(""37  29.7'"", ""-122 5.6'"")"
2014-01-31,34.0,7,,,0.37,4.7,,3.2,93.0,8.1,,,53,,29.99,13.12,,,,,,"(""37  29.7'"", ""-122 5.6'"")"
2014-01-31,34.0,8,4.7,0.77,0.37,4.7,,3.2,93.0,8.1,,,59,,30.01,13.1,,,,,,"(""37  29.7'"", ""-122 5.6'"")"
2014-01-31,35.0,1,,,0.58,7.3,,3.3,94.0,8.1,,,26,2.2,29.58,13.6,,,,,,"(""37   28.8'"", ""-122 4.7'"")"
2014-01-31,35.0,2,,,0.58,7.3,,3.3,94.0,8.1,,,26,,29.61,13.55,,,,,,"(""37   28.8'"", ""-122 4.7'"")"
2014-01-31,35.0,3,,,0.54,6.8,,3.3,94.0,8.1,,,29,,29.77,13.45,,,,,,"(""37   28.8'"", ""-122 4.7'"")"
2014-01-31,35.0,4,,,0.48,6.1,,3.3,93.0,8.1,,,27,,29.87,13.38,,,,,,"(""37   28.8'"", ""-122 4.7'"")"
2014-01-31,35.0,5,,,0.44,5.6,,3.3,93.0,8.1,,,26,,29.94,13.3,,,,,,"(""37   28.8'"", ""-122 4.7'"")"
2014-01-31,35.0,6,,,0.42,5.3,,3.2,93.0,8.1,,,28,,29.96,13.28,,,,,,"(""37   28.8'"", ""-122 4.7'"")"
2014-01-31,35.0,7,,,0.42,5.3,,3.2,93.0,8.1,,,29,,29.96,13.26,,,,,,"(""37   28.8'"", ""-122 4.7'"")"
2014-01-31,36.0,1,,,0.84,10.7,,3.3,94.0,8.1,,,33,2.19,29.02,13.7,,,,,,"(""37   28.3'"", ""-122 4.0'"")"
2014-01-31,36.0,2,10.9,0.81,0.84,10.7,,3.3,94.0,8.1,,,42,,29.07,13.71,2.03,60.79,3.91,6.62,,"(""37   28.3'"", ""-122 4.0'"")"
2014-01-31,36.0,3,,,0.67,8.6,,3.3,93.0,8.1,,,34,,29.22,13.55,,,,,,"(""37   28.3'"", ""-122 4.0'"")"
2014-01-31,36.0,4,,,0.54,6.8,,3.3,93.0,8.1,,,35,,29.31,13.46,,,,,,"(""37   28.3'"", ""-122 4.0'"")"
2014-01-31,36.0,5,,,0.5,6.3,,3.2,93.0,8.1,,,30,,29.4,13.41,,,,,,"(""37   28.3'"", ""-122 4.0'"")"
2014-01-31,36.0,6,,,0.5,6.4,,3.2,93.0,8.1,,,37,,29.49,13.38,,,,,,"(""37   28.3'"", ""-122 4.0'"")"
2014-01-31,36.0,7,,,0.5,6.4,,3.2,93.0,8.1,,,43,,29.56,13.33,,,,,,"(""37   28.3'"", ""-122 4.0'"")"
2014-02-11,36.0,1,,,0.68,7.9,,8.4,94.0,8.4,,0.46,16,,25.85,13.16,,,,,,"(""37   28.3'"", ""-122 4.0'"")"
2014-02-11,36.0,2,7.9,0.78,0.68,7.9,8.3,8.4,94.0,8.4,26.3,0.69,25,,26.14,13.16,2.25,81.25,10.79,7.57,,"(""37   28.3'"", ""-122 4.0'"")"
2014-02-11,36.0,3,,,0.65,7.6,,8.4,94.0,8.4,,0.9,34,,26.21,13.16,,,,,,"(""37   28.3'"", ""-122 4.0'"")"
2014-02-11,36.0,4,,,0.65,7.5,,8.4,94.0,8.3,,0.97,37,,26.21,13.16,,,,,,"(""37   28.3'"", ""-122 4.0'"")"
2014-02-11,36.0,5,7.8,0.76,0.65,7.5,,8.4,94.0,8.3,36.9,1.01,38,,26.21,13.17,,,,,,"(""37   28.3'"", ""-122 4.0'"")"
2014-02-11,35.0,1,,,0.48,5.5,,8.3,94.0,8.3,,0.7,25,,27.27,12.98,,,,,,"(""37   28.8'"", ""-122 4.7'"")"
2014-02-11,35.0,2,,,0.48,5.5,,8.3,94.0,8.3,,0.72,26,,27.29,12.97,,,,,,"(""37   28.8'"", ""-122 4.7'"")"
2014-02-11,35.0,3,,,0.46,5.2,,8.3,94.0,8.3,,0.72,26,,27.31,12.97,,,,,,"(""37   28.8'"", ""-122 4.7'"")"
2014-02-11,35.0,4,,,0.46,5.2,,8.4,94.0,8.3,,0.71,26,,27.33,12.97,,,,,,"(""37   28.8'"", ""-122 4.7'"")"
2014-02-11,35.0,5,,,0.46,5.2,,8.4,94.0,8.3,,0.75,28,,27.33,12.97,,,,,,"(""37   28.8'"", ""-122 4.7'"")"
2014-02-11,35.0,6,,,0.46,5.2,,8.4,94.0,8.3,,0.76,28,,27.32,12.97,,,,,,"(""37   28.8'"", ""-122 4.7'"")"
2014-02-11,35.0,7,,,0.47,5.3,,8.4,94.0,8.3,,0.8,30,,27.31,12.97,,,,,,"(""37   28.8'"", ""-122 4.7'"")"
2014-02-11,35.0,8,,,0.47,5.3,,8.3,94.0,8.3,,0.83,31,,27.29,12.97,,,,,,"(""37   28.8'"", ""-122 4.7'"")"
2014-02-11,34.0,1,,,0.4,4.5,,8.2,92.0,8.2,,0.41,13,,27.77,12.77,,,,,,"(""37  29.7'"", ""-122 5.6'"")"
2014-02-11,34.0,2,4.5,0.76,0.4,4.5,,8.2,93.0,8.2,,0.68,25,,28.34,12.75,,,,,,"(""37  29.7'"", ""-122 5.6'"")"
2014-02-11,34.0,3,,,0.38,4.2,,8.2,93.0,8.2,,1.09,42,,28.46,12.77,,,,,,"(""37  29.7'"", ""-122 5.6'"")"
2014-02-11,34.0,4,,,0.37,4.1,,8.3,93.0,8.2,,1.21,47,,28.47,12.78,,,,,,"(""37  29.7'"", ""-122 5.6'"")"
2014-02-11,34.0,5,,,0.37,4.1,,8.3,93.0,8.2,,1.35,53,,28.47,12.78,,,,,,"(""37  29.7'"", ""-122 5.6'"")"
2014-02-11,33.0,1,,,0.34,3.8,,8.3,93.0,8.2,,0.3,9,,28.77,12.68,,,,,,"(""37   30.5'"", ""-122 7.3'"")"
2014-02-11,33.0,2,,,0.34,3.8,,8.3,93.0,8.2,,0.32,10,,28.94,12.66,,,,,,"(""37   30.5'"", ""-122 7.3'"")"
2014-02-11,33.0,3,,,0.33,3.6,,8.3,93.0,8.2,,0.35,11,,29.02,12.65,,,,,,"(""37   30.5'"", ""-122 7.3'"")"
2014-02-11,33.0,4,,,0.32,3.6,,8.3,93.0,8.2,,0.38,12,,29.05,12.65,,,,,,"(""37   30.5'"", ""-122 7.3'"")"
2014-02-11,33.0,5,,,0.32,3.5,,8.3,93.0,8.2,,0.4,13,,29.08,12.63,,,,,,"(""37   30.5'"", ""-122 7.3'"")"
2014-02-11,33.0,6,,,0.3,3.3,,8.3,93.0,8.2,,0.43,14,,29.16,12.57,,,,,,"(""37   30.5'"", ""-122 7.3'"")"
2014-02-11,33.0,7,,,0.29,3.1,,8.3,93.0,8.2,,0.45,15,,29.2,12.54,,,,,,"(""37   30.5'"", ""-122 7.3'"")"
2014-02-11,33.0,8,,,0.28,3,,8.2,93.0,8.2,,0.51,18,,29.25,12.53,,,,,,"(""37   30.5'"", ""-122 7.3'"")"
2014-02-11,33.0,9,,,0.28,3,,8.2,93.0,8.2,,0.66,24,,29.31,12.53,,,,,,"(""37   30.5'"", ""-122 7.3'"")"
2014-02-11,33.0,10,,,0.28,3,,8.2,93.0,8.2,,0.83,31,,29.35,12.54,,,,,,"(""37   30.5'"", ""-122 7.3'"")"
2014-02-11,33.0,11,,,0.28,3,,8.2,93.0,8.2,,0.95,36,,29.39,12.53,,,,,,"(""37   30.5'"", ""-122 7.3'"")"
2014-02-11,33.0,12,,,0.29,3.1,,8.2,93.0,8.2,,1.03,39,,29.41,12.54,,,,,,"(""37   30.5'"", ""-122 7.3'"")"
2014-02-11,33.0,13,,,0.29,3.2,,8.2,93.0,8.2,,1.12,43,,29.43,12.54,,,,,,"(""37   30.5'"", ""-122 7.3'"")"
2014-02-11,33.0,14,,,0.29,3.2,,8.2,93.0,8.2,,1.2,46,,29.45,12.56,,,,,,"(""37   30.5'"", ""-122 7.3'"")"
2014-02-11,32.0,1,,,0.28,3,,8.2,93.0,8.2,,0.33,10,,29.22,12.54,,,,,,"(""37  31.1'"", ""-122  8.0'"")"
2014-02-11,32.0,2,2.7,0.79,0.28,3,8.2,8.2,93.0,8.2,11.7,0.39,13,,29.35,12.51,2.23,52.57,10.43,5.93,,"(""37  31.1'"", ""-122  8.0'"")"
2014-02-11,32.0,3,,,0.27,2.8,,8.2,93.0,8.2,,0.46,15,,29.38,12.5,,,,,,"(""37  31.1'"", ""-122  8.0'"")"
2014-02-11,32.0,4,,,0.26,2.8,,8.2,92.0,8.2,,0.59,21,,29.49,12.46,,,,,,"(""37  31.1'"", ""-122  8.0'"")"
2014-02-11,32.0,5,,,0.27,2.9,,8.2,92.0,8.1,,0.88,33,,29.59,12.43,,,,,,"(""37  31.1'"", ""-122  8.0'"")"
2014-02-11,32.0,6,,,0.28,3,,8.2,92.0,8.1,,1.26,49,,29.66,12.4,,,,,,"(""37  31.1'"", ""-122  8.0'"")"
2014-02-11,32.0,7,,,0.29,3.1,,8.2,92.0,8.1,,1.54,61,,29.67,12.4,,,,,,"(""37  31.1'"", ""-122  8.0'"")"
2014-02-11,32.0,8,,,0.29,3.2,,8.2,92.0,8.1,,1.61,63,,29.67,12.4,,,,,,"(""37  31.1'"", ""-122  8.0'"")"
2014-02-11,32.0,9,,,0.29,3.2,,8.2,92.0,8.1,,1.61,63,,29.67,12.4,,,,,,"(""37  31.1'"", ""-122  8.0'"")"
2014-02-11,32.0,10,2.6,0.44,0.29,3.2,,8.2,92.0,8.1,,1.75,69,,29.68,12.39,,,,,,"(""37  31.1'"", ""-122  8.0'"")"
2014-02-11,31.0,1,,,0.25,2.7,,8.2,93.0,8.2,,0.33,10,1.14,29.5,12.47,,,,,,"(""37  31.7'"", ""-122 9.5'"")"
2014-02-11,31.0,2,,,0.25,2.7,,8.2,93.0,8.2,,0.35,11,,29.57,12.47,,,,,,"(""37  31.7'"", ""-122 9.5'"")"
2014-02-11,31.0,3,,,0.25,2.6,,8.2,92.0,8.2,,0.37,12,,29.64,12.46,,,,,,"(""37  31.7'"", ""-122 9.5'"")"
2014-02-11,31.0,4,,,0.24,2.6,,8.2,92.0,8.2,,0.42,14,,29.82,12.39,,,,,,"(""37  31.7'"", ""-122 9.5'"")"
